phone Position 	 Mean Score 	 Std. Score 	 Mean duration 	 Std. duration 	 count
AA	0	10.8148151455	0.666901381873	117.933753943	49.4120513287	634
AA	1	10.6569475315	0.693773147953	124.832968237	39.4353565577	3652
AA	2	11.3914559729	0.617600465804	160.0		73.3306276557	42
AE	0	10.9677063742	0.650235965435	131.791953415	48.8781462451	1889
AE	1	10.8157292915	0.697970147357	143.648958095	50.6039296369	4367
AE	2	11.8139433344	0.638175175234	205.0		56.1248608016	4
AH	0	10.3555952888	0.745031353177	77.259491338	34.1472350192	2713
AH	1	10.2090884569	0.738642720717	76.9933920705	27.7153915343	9988
AH	2	10.1141794873	0.754179595931	77.8877489439	28.4038481301	3314
AO	0	11.0736881912	0.682777462815	138.058551618	53.9142556001	1298
AO	1	10.6074749008	0.710291844398	117.703165098	39.7646842027	2338
AO	2	11.3700624503	0.624975829233	162.826086957	59.924337927	115
AW	0	11.1379318319	0.663986499674	155.485436893	50.9307285271	206
AW	1	11.0095013655	0.733001462676	160.059055118	50.4253214955	508
AW	2	11.2598842088	0.702059409572	184.192825112	77.5885060521	223
AY	0	11.2620118686	0.652263018436	165.166666667	59.5606600217	240
AY	1	10.7560087862	0.740374335337	137.773322077	49.5453336886	2369
AY	2	11.0956289063	0.706043178107	160.036390102	66.4045877373	687
B	0	10.3963928082	0.630860914202	81.3662650602	23.6561883552	2075
B	1	10.3283341831	0.696775500453	70.4915854739	19.3643946102	1129
B	2	10.8614871425	0.573962220978	87.5683060109	33.7049959955	183
CH	0	11.034366738	0.528770755141	140.626822157	25.2359266115	343
CH	1	10.8321853017	0.56886065594	120.063291139	27.7362541036	316
CH	2	10.9507730347	0.592702727691	136.760204082	52.5154364863	392
D	0	10.4755702304	0.621989838939	95.5349013657	27.6476982023	2636
D	1	10.1163250746	0.705657561873	70.5993247046	19.242648644	1777
D	2	10.5175038407	0.760391847408	82.2801013942	37.2662651961	3945
DH	0	10.3370921905	0.675599155206	70.6722354813	22.573553913	3771
DH	1	10.3749125872	0.725853996578	80.7575757576	17.1121111313	231
DH	2	10.6063575063	0.715963208725	61.5573770492	15.3521767455	61
EH	0	10.7755616805	0.708669334941	108.944954128	44.9808321112	654
EH	1	10.4556256444	0.70031287613	103.60592482	33.9778119513	4017
EH	2	11.0251277517	0.512922017488	112.777777778	23.4652356466	9
ER	0	10.8614395944	0.633464808727	154.047619048	46.9089918325	147
ER	1	10.5672954593	0.697333624755	115.490196078	46.0233838898	2550
ER	2	10.5874724038	0.619841174305	122.471988796	49.9886113049	2856
EY	0	11.170004694	0.645561446352	161.596858639	46.9648391436	191
EY	1	10.6624465732	0.731202707526	131.438902743	40.7043581311	2005
EY	2	10.8794006391	0.666187948317	147.406738869	63.6456280622	831
F	0	10.5743149485	0.493738140634	117.449334105	30.728835479	1727
F	1	10.5329215144	0.570655298373	104.32059448	27.5766675059	942
F	2	10.7129691643	0.552899410834	120.906593407	58.2293878113	364
G	0	10.3177337635	0.622753220208	85.5222437137	23.1564212894	1551
G	1	10.2923635373	0.646561727766	76.4580801944	19.3405969997	823
G	2	10.7719923509	0.596552756228	91.2339181287	25.7762122618	855
HH	0	10.3879166724	0.601179996312	90.0106990014	35.7440760483	2804
HH	1	10.4234387022	0.609291961572	76.7857142857	24.1602149493	84
HH	2	0.0		0.0		0.0		0.0		1
IH	0	10.4131925794	0.713344038029	82.5287545186	34.9329964438	3043
IH	1	10.2176926223	0.723989955245	82.9366955608	28.5741297119	7614
IH	2	10.1900219477	0.617367065039	67.1420118343	12.4806576304	845
IY	0	11.0318387434	0.635952391349	141.858789625	47.2553941752	347
IY	1	10.4042874862	0.72416750149	105.684163963	41.5151436011	3391
IY	2	10.4347794381	0.63080971925	103.88106536	45.376329336	6533
JH	0	10.8432012473	0.597972549223	118.128342246	31.3527386915	374
JH	1	10.5058305662	0.62523060957	95.8376963351	23.983629734	573
JH	2	11.0006009518	0.72459535117	148.782234957	64.7589192418	349
K	0	10.6934332808	0.584378554936	109.458598726	25.9184433983	2669
K	1	10.4699664853	0.663101616485	87.7453064116	23.8517670735	2823
K	2	10.8339435312	0.627690074689	89.9665139232	41.3873004981	2837
L	0	10.5290554533	0.684388081385	90.5231252806	29.4010373359	2227
L	1	10.3028901844	0.659284058933	86.5668007622	27.9423716355	4723
L	2	10.5694903915	0.715596629756	109.677814029	53.7229216783	2452
M	0	10.3755532806	0.560974954023	85.8157227388	24.5476889805	2366
M	1	10.2041256302	0.626208343964	77.2403258656	21.2652552908	1964
M	2	10.590115908	0.598697440252	102.249134948	44.5687937704	1156
N	0	10.3661437427	0.588249604489	91.2816901408	25.6607607306	1065
N	1	10.1903878337	0.644141908195	70.2878428717	22.5310136075	5906
N	2	10.4416275254	0.639628997636	90.0873586845	37.9472990766	4865
NG	0	0.0		0.0		0.0		0.0		1
NG	1	10.2846416386	0.647006380291	84.7650130548	28.3984541178	383
NG	2	10.4374423666	0.641599949403	105.858843537	46.1993661796	1176
OW	0	10.8469434672	0.64504850956	130.418848168	40.3220992339	382
OW	1	10.6993876233	0.69948012013	124.448621554	40.739981678	1995
OW	2	10.8669380549	0.69009772643	153.494845361	69.1479996075	485
OY	0	11.3372447785	0.596997246753	170.205479452	46.5882782645	657
OY	1	11.1652541113	0.700523892472	161.468253968	45.7458795972	252
OY	2	11.237911101	0.625688786098	173.310810811	43.6414833881	148
P	0	10.8496567474	0.582179639835	104.356037152	26.6699849686	1615
P	1	10.7424268429	0.618850142933	92.6617727026	23.6724248671	1839
P	2	10.977095286	0.603061600456	100.52688172	50.5772253983	465
R	0	10.3144105072	0.533477448523	100.404761905	28.3276404845	1680
R	1	10.1438948728	0.591404401186	82.5715724356	25.078235067	6951
R	2	10.6551293188	0.608861913852	110.379473063	67.5648239101	2543
S	0	10.6198964049	0.502711478006	135.222900763	34.8656627269	3275
S	1	10.4564646469	0.57206426872	109.584216726	28.8156119449	4245
S	2	10.6209681805	0.640380264349	134.312419424	71.5573578797	2327
SH	0	10.8983961537	0.459031141569	160.493183641	32.8964218818	1247
SH	1	10.5209853211	0.533394459699	112.88874842	24.8986367313	791
SH	2	10.6835489279	0.513969705803	142.218934911	35.239913107	845
T	0	10.6600776671	0.586946863621	88.1158833063	31.2291347352	2468
T	1	10.3445074551	0.695743143211	81.096933729	24.6458295546	5055
T	2	10.6497261529	0.719009831591	93.8023143684	50.1970319811	5185
TH	0	10.8804831593	0.606385471504	110.471698113	35.4407159529	371
TH	1	10.760406217	0.647863306682	95.1606425703	24.1309658164	249
TH	2	10.7642812384	0.638868469557	102.218045113	56.8163737491	399
UH	0	0.0		0.0		0.0		0.0		1
UH	1	10.1879931936	0.794824201697	64.8601398601	26.7096801285	1430
UH	2	0.0		0.0		0.0		0.0		1
UW	0	11.873125563	0.638224095053	266.428571429	111.281954824	14
UW	1	10.7653644552	0.762797068712	129.9823143	51.8786744	1979
UW	2	10.7130773921	0.726955305665	113.521816563	61.6293044136	1123
V	0	10.5378665338	0.583872053052	87.7272727273	22.5852706648	308
V	1	10.081186628	0.643344342416	75.8243451464	19.8417846501	1298
V	2	10.2715392312	0.697144606113	79.349005425	30.9111379341	1106
W	0	10.5397468069	0.61502336891	98.4803505796	34.9694195108	3537
W	1	10.4923591221	0.622157111256	85.71334214	25.7929668776	757
W	2	0.0		0.0		0.0		0.0		1
Y	0	10.8939401926	0.658237940263	104.299574065	60.0384928174	2113
